No., Company, Position, Requirements, Description
1, Orange Applications For Business Singapore Pte Ltd, IT Intern (Testing), 
2, Veracode, Software Engineer, 
3, Quantum, Email Marketing and Customer Service, 
4, Robert Bosch SEA Pte Ltd, Intern - Linux System Engineer, 
5, Dow Technologies and Systems, Microsoft SSIS ETL Application Development Services, 
6, Dow Technologies and Systems, RPA Developer, 
7, Dow Technologies and Systems, Mobile Application Developer, 
8, Dow Technologies and Systems, Siebel Developer, 
9, Foo Kon Tan LLP, Intern - IT, 
10, PwC, Information Security Analyst, 
11, Veracode, Research Engineer, 
12, AYP Group, Quality Assurance Intern, 
13, Pharmatrial Pte Ltd, IT Support Officer, 
14, Robert Bosch SEA Pte Ltd, Intern - Software Engineer, 
15, Dow Technologies and Systems, System Analyst, 
16, Dow Technologies and Systems, Software Developer, 
17, Dow Technologies and Systems, Senior Consultant – Full Stack, 
18, Dow Technologies and Systems, Data Scientist, 
19, Nexlec, Digital Marketing Internship, 
20, Cartrack Technologies South East Asia Pte Ltd, Application Support Specialist, 
21, OMG Consulting Pte Ltd, Field Implementation / Technical Trainer, 
22, 42Race, Tech Product Management Intern, 
23, Quesmi, CTO (& Cofounder), 
24, Dishdash, QA Engineer Intern, 
25, Castlery Pte Ltd, Software Engineer Intern, 
26, Robert Bosch SEA Pte Ltd, Intern - Business Development, 
27, Dishdash, iOS Intern, 
28, Scooget, Full Stack / Back-end Developer, 
29, Scooget, Web Portal Administrator, 
30, Robert Bosch SEA Pte Ltd, Intern - System Management and Administration (Corporate Information), 
31, SGBM Pte Ltd, Django Software Developer, 
32, Schroder Investment Management Ltd, 2019 Technology Internship Programme - Singapore, 
33, Spacesense Technologies Pte Ltd, Front End Development & Website QA Test Intern, 
34, Skyrus Network Pte Ltd, Software Engineer, 
35, Wizlearn Technologies Pte Ltd, Graphics Designer, 
36, Dishdash.co, Intern Web Developer, 
37, Axxis Consulting, SAP CRM / C / 4hana Internship, 
38, Scooget, Web Designer / Front-end Developer, 
39, Robert Bosch SEA Pte Ltd, Intern - Bosch IoT Cloud Marketplace Project, 
40, Plexure Pte Ltd, Mobile App Developer, 
41, Plexure Pte Ltd, Software Analyst Developer, 
42, Rakan Riang Pte Ltd - KidZania Singapore, IT Intern, 
43, BioQuest Advisory Pte. Ltd., Junior IT Programmers (Emerging Tech), 
44, The Capitol Kempinski Hotel Singapore, IT Intern, 
45, Zumata, Chatbot Engineer Intern, 
46, SixSense, Full Stack Developer Intern, 
47, Energy Wave Worldwide Pte Ltd, IT Support Intern, 
48, GoBear, Product Management Intern, 
49, OMG Consulting Pte Ltd, Field Implementation / Technical Trainer, 
50, Dentsu Aegis Network, Data Engineering Intern, 
51, ACP Computer Training & Consultancy Pte Ltd, Training & Developer Intern, 
52, AYP Group, Quality Assurance Intern, 
53, Above1 Pte Ltd, Project Executive (Intern), 
54, Daimler South East Asia, DSEA CIO Singapore Intern, 
55, Corsiva Lab Pte Ltd, Web Developer Intern, 
56, SixSense, Data Science / Machine Learning Intern, 
57, GoBear, Content Marketing Intern, 
58, Rajah & Tann Technologies Pte Ltd, Information Systems Intern, 
59, Dentsu Aegis Network, Software Engineering Intern, 
60, Dentsu Aegis Network, Developer Intern, 
61, Dentsu Aegis Network, Web / Digital Analyst Intern, 
62, Robert Bosch SEA Pte Ltd, Intern - IoT / Enterprise General Projects, 
63, JP & Associates, Media Marketing Intern, 
64, Recroitre Pte Ltd, Business Development Intern (IT Consulting), 
65, Impressionade, Web Designer Intern, 
66, Monstar Lab Pte Ltd, iOS / Android Engineer (Intern / Permanent Role), 
67, BioQuest Advisory Pte. Ltd., IT Support Engineers (part-time), 
68, Future Electronics Inc. (Distribution) Pte Ltd, Intern - Business IT, 
69, Jabil Circuit (Singapore) Pte Ltd, Data Scientist - Intern, 
70, Aspire Financial Technology Pte Ltd, QA Engineer Intern, 
71, Dentsu Aegis Network, Consulting Analyst Intern, 
72, Semnet Pte Ltd, Mobile Developer, 
73, Robert Bosch SEA Pte Ltd, Software Engineer Intern, 
74, Semnet Pte Ltd, Telemarketer, 
75, Monstar Lab Pte Ltd, Mobile App Tester (Intern / Permanent Job), 
76, IBM Singapore Pte Ltd, Information Desginer, 
77, Nspire Group Pte ltd, Event IT Support Technician, 
78, Ambient, Odoo Developer, 
79, Henkel APAC Supply Chain Pte Ltd, Integrated Business Solutions (IBS) Intern, 
80, NCS Pte. Ltd., Software Engineering Intern, 
81, Singapore Telecommunications Limited, Digital Content & Service Support Intern, 
82, DBS Bank Ltd., 2019 Dbs Uni.corn+ Tech Internship, 
83, OMG Consulting Pte Ltd, Field Implementation / Technical Trainer, 
84, AYP Group, Quality Assurance Intern, 
85, JCDecaux Singapore Pte Ltd, IT Intern, 
86, Energy Wave Worldwide, IT Intern, 
